filename,mjd,rv_sci_mean_kms,rv_cal_mean_kms
MiniCombEtalon_R07_20260511123002_deg0_sp.fits,61171.535376772,0.04377714512037269,0.020586852884748867
MiniCombEtalon_R08_20260511063002_deg0_sp.fits,61171.287599312,0.03052288744129405,0.021025367829706015
MiniCombEtalon_R08_20260511093002_deg0_sp.fits,61171.412598479,0.03852846480933607,0.0195205572718651
MiniCombEtalon_R08_20260511123002_deg0_sp.fits,61171.537597613,0.04343821171889434,0.020929619433175423
MiniCombEtalon_R09_20260511063002_deg0_sp.fits,61171.289820151,0.03199456725636396,0.021637047237170304
MiniCombEtalon_R09_20260511093002_deg0_sp.fits,61171.414819318,0.03825552637089059,0.019326356193717004
MiniCombEtalon_R09_20260511123002_deg0_sp.fits,61171.539818452,0.04393125199189778,0.020387891710968907
MiniCombEtalon_R10_20260511063002_deg0_sp.fits,61171.292040990,0.03156297852138877,0.021204827701531398
MiniCombEtalon_R10_20260511093002_deg0_sp.fits,61171.417040156,0.03807101587971112,0.02042879706350403
MiniCombEtalon_R10_20260511123002_deg0_sp.fits,61171.542039291,0.04424807986964257,0.020965652891328592
MiniCombEtalon_R11_20260511063002_deg0_sp.fits,61171.294261830,0.03300714816265104,0.021852774514690643
MiniCombEtalon_R11_20260511093002_deg0_sp.fits,61171.419260994,0.03864454977069939,0.01942765609037936
MiniCombEtalon_R11_20260511123002_deg0_sp.fits,61171.544260130,0.04407859410974135,0.020482363141842225
MiniCombEtalon_R12_20260511063002_deg0_sp.fits,61171.296482670,0.03222733200412459,0.02177097702368059
MiniCombEtalon_R12_20260511093002_deg0_sp.fits,61171.421481833,0.03894301917855522,0.019752973335501696
MiniCombEtalon_R12_20260511123002_deg0_sp.fits,61171.546480969,0.042875092243431265,0.020360314521103717
MiniCombEtalon_R13_20260511063002_deg0_sp.fits,61171.298703510,0.03233363110007724,0.02143348572571142
MiniCombEtalon_R13_20260511093002_deg0_sp.fits,61171.423702672,0.03889434971253935,0.01936466269210336
MiniCombEtalon_R13_20260511123002_deg0_sp.fits,61171.548701807,0.04504071522084207,0.020502206437580467
MiniCombEtalon_R14_20260511063002_deg0_sp.fits,61171.300924350,0.03374277964319286,0.021916496613030034
MiniCombEtalon_R14_20260511093002_deg0_sp.fits,61171.425923510,0.03947933035076216,0.019651311094294414
MiniCombEtalon_R01_20260512063001_deg0_sp.fits,61172.272046451,0.04253916754445986,0.025672316200409263
MiniCombEtalon_R01_20260512093002_deg0_sp.fits,61172.397045777,0.037754056382488105,0.020844150573998677
MiniCombEtalon_R01_20260512123002_deg0_sp.fits,61172.522045066,0.03490409691642366,0.019006894062039252
MiniCombEtalon_R02_20260512063001_deg0_sp.fits,61172.274267295,0.04276713120915761,0.024276470992751112
MiniCombEtalon_R02_20260512093002_deg0_sp.fits,61172.399266621,0.03861072157288651,0.02200192317465048
MiniCombEtalon_R02_20260512123002_deg0_sp.fits,61172.524265907,0.03503581091416993,0.02009937457220198
MiniCombEtalon_R03_20260512063001_deg0_sp.fits,61172.276488139,0.04268309694477288,0.024569277461268108
MiniCombEtalon_R03_20260512093002_deg0_sp.fits,61172.401487466,0.03806443978214573,0.0219442886803658
MiniCombEtalon_R03_20260512123002_deg0_sp.fits,61172.526486749,0.03439156642583377,0.02013433319008894
MiniCombEtalon_R04_20260512063001_deg0_sp.fits,61172.278708982,0.04233384117042905,0.02462261300330704
MiniCombEtalon_R04_20260512093002_deg0_sp.fits,61172.403708310,0.03853715756506729,0.0212102949084716
MiniCombEtalon_R04_20260512123002_deg0_sp.fits,61172.528707592,0.034022741700922406,0.01971384186081246
MiniCombEtalon_R05_20260512063001_deg0_sp.fits,61172.280929824,0.04160927922252992,0.024341972410864787
MiniCombEtalon_R05_20260512093002_deg0_sp.fits,61172.405929152,0.03635877180202673,0.020961082100826818
MiniCombEtalon_R05_20260512123002_deg0_sp.fits,61172.530928435,0.035682653581586725,0.020256349934860262
MiniCombEtalon_R06_20260512063001_deg0_sp.fits,61172.283150666,0.04189229853212109,0.024133836389075597
MiniCombEtalon_R06_20260512093002_deg0_sp.fits,61172.408149995,0.03614860826586571,0.02094306286654965
MiniCombEtalon_R06_20260512123002_deg0_sp.fits,61172.533149276,0.03462536460144854,0.019899475649675855
MiniCombEtalon_R07_20260512063001_deg0_sp.fits,61172.285371508,0.04008620230220659,0.023270123447880535
MiniCombEtalon_R07_20260512093002_deg0_sp.fits,61172.410370838,0.03617114807506197,0.02044379290022286
MiniCombEtalon_R07_20260512123002_deg0_sp.fits,61172.535370119,0.03394726548525965,0.019759691393833708
MiniCombEtalon_R08_20260512063001_deg0_sp.fits,61172.287592351,0.041396428927378166,0.024146704093325647
MiniCombEtalon_R08_20260512093002_deg0_sp.fits,61172.412591679,0.03561598440121315,0.021400767821185482
MiniCombEtalon_R08_20260512123002_deg0_sp.fits,61172.537590961,0.036324241432544764,0.020482828754025375
MiniCombEtalon_R09_20260512063001_deg0_sp.fits,61172.289813194,0.0420530508917234,0.02439647752460832
MiniCombEtalon_R09_20260512093002_deg0_sp.fits,61172.414812521,0.03877570593537625,0.02166470806048675
MiniCombEtalon_R09_20260512123002_deg0_sp.fits,61172.539811804,0.03456858293479015,0.020322344240491955
MiniCombEtalon_R10_20260512063001_deg0_sp.fits,61172.292034038,0.042146044362729215,0.024370892314468116
MiniCombEtalon_R10_20260512093002_deg0_sp.fits,61172.417033362,0.03786676868367038,0.02170338559264467
MiniCombEtalon_R10_20260512123002_deg0_sp.fits,61172.542032648,0.035433262261228435,0.020511018382320775
MiniCombEtalon_R11_20260512063001_deg0_sp.fits,61172.294254882,0.0392404057231993,0.02345961082822501
MiniCombEtalon_R11_20260512093002_deg0_sp.fits,61172.419254205,0.03700853227489901,0.02112712365476874
MiniCombEtalon_R11_20260512123002_deg0_sp.fits,61172.544253490,0.03572113477402582,0.021131175400305638
MiniCombEtalon_R12_20260512063001_deg0_sp.fits,61172.296475726,0.04020432340097242,0.023480202595352686
MiniCombEtalon_R12_20260512093002_deg0_sp.fits,61172.421475047,0.04019098248076945,0.02064798801392365
MiniCombEtalon_R12_20260512123002_deg0_sp.fits,61172.546474333,0.034835002358693364,0.01993680457759123
MiniCombEtalon_R13_20260512063001_deg0_sp.fits,61172.298696569,0.041428444559321584,0.023795439107562877
MiniCombEtalon_R13_20260512093002_deg0_sp.fits,61172.423695890,0.03667925217121712,0.019569230725933064
MiniCombEtalon_R13_20260512123002_deg0_sp.fits,61172.548695175,0.03615290011565112,0.020509325394570004
MiniCombEtalon_R14_20260512063001_deg0_sp.fits,61172.300917412,0.041010893641363046,0.02465436830927931
MiniCombEtalon_R14_20260512093002_deg0_sp.fits,61172.425916733,0.03687743297664492,0.02096498430438349
MiniCombEtalon_R14_20260512123002_deg0_sp.fits,61172.550916018,0.039323477142535194,0.02046495826310882
MiniCombEtalon_R15_20260512063001_deg0_sp.fits,61172.303138254,0.042503466698270154,0.02456503299530954
MiniCombEtalon_R15_20260512093002_deg0_sp.fits,61172.428137576,0.03574706024763475,0.020863135448927733
MiniCombEtalon_R15_20260512123002_deg0_sp.fits,61172.553136859,0.034075691685453005,0.02021495489549219
MiniCombEtalon_R16_20260512063001_deg0_sp.fits,61172.305359096,0.04097105274594905,0.023874738050533067
MiniCombEtalon_R16_20260512093002_deg0_sp.fits,61172.430358420,0.03720991671475773,0.021294843218882937
MiniCombEtalon_R16_20260512123002_deg0_sp.fits,61172.555357700,0.03479362347392262,0.019939725715942262
MiniCombEtalon_R17_20260512063001_deg0_sp.fits,61172.307579939,0.04031067270259227,0.024302452374518252
MiniCombEtalon_R17_20260512093002_deg0_sp.fits,61172.432579263,0.03716621939154959,0.02123170438839765
MiniCombEtalon_R17_20260512123002_deg0_sp.fits,61172.557578541,0.03457309441629034,0.020226283722179755
MiniCombEtalon_R18_20260512063001_deg0_sp.fits,61172.309800782,0.04052443070416383,0.022988583329411318
MiniCombEtalon_R18_20260512093002_deg0_sp.fits,61172.434800107,0.03794580460220051,0.02161761223348121
MiniCombEtalon_R18_20260512123002_deg0_sp.fits,61172.559799382,0.03514538478135543,0.020778694046760783
MiniCombEtalon_R19_20260512063001_deg0_sp.fits,61172.312021626,0.039170830810664435,0.022976122338175923
MiniCombEtalon_R19_20260512093002_deg0_sp.fits,61172.437020949,0.03685438144487988,0.021678681670509722
MiniCombEtalon_R19_20260512123002_deg0_sp.fits,61172.562020223,0.035311501058496036,0.020448008710865745
MiniCombEtalon_R20_20260512063001_deg0_sp.fits,61172.314242471,0.03994012344643715,0.023051563994484048
MiniCombEtalon_R20_20260512093002_deg0_sp.fits,61172.439241792,0.037284577098125424,0.021208639999480427
MiniCombEtalon_R20_20260512123002_deg0_sp.fits,61172.564241065,0.03588641112963789,0.021086293798523094
MiniCombEtalon_R01_20260512063001_deg0_sp.fits,61172.272046451,0.04253916754445986,0.025672316200409263
MiniCombEtalon_R01_20260512093002_deg0_sp.fits,61172.397045777,0.037754056382488105,0.020844150573998677
MiniCombEtalon_R01_20260512123002_deg0_sp.fits,61172.522045066,0.03490409691642366,0.019006894062039252
MiniCombEtalon_R02_20260512063001_deg0_sp.fits,61172.274267295,0.04276713120915761,0.024276470992751112
MiniCombEtalon_R02_20260512093002_deg0_sp.fits,61172.399266621,0.03861072157288651,0.02200192317465048
MiniCombEtalon_R01_20260512063001_deg0_sp.fits,61172.272046451,0.04253916754445986,0.025672316200409263
MiniCombEtalon_R01_20260512093002_deg0_sp.fits,61172.397045777,0.037754056382488105,0.020844150573998677
MiniCombEtalon_R01_20260512123002_deg0_sp.fits,61172.522045066,0.03490409691642366,0.019006894062039252
MiniCombEtalon_R02_20260512063001_deg0_sp.fits,61172.274267295,0.04276713120915761,0.024276470992751112
MiniCombEtalon_R02_20260512093002_deg0_sp.fits,61172.399266621,0.03861072157288651,0.02200192317465048
MiniCombEtalon_R01_20260512063001_deg0_sp.fits,61172.272046451,0.04253916754445986,0.025672316200409263
