filename,mjd,order_10,order_11,order_12,order_13,order_14,order_15,order_16,order_17,order_18,order_19,order_20,order_21,order_22,order_23,order_24,order_25,order_26,order_27,order_28,order_29,order_30,order_31,order_32,order_33,order_34,order_35,order_36,order_37,order_38,order_39,order_40,order_41,order_42,order_43
MiniCombEtalon_R11_20260511093002_deg0_sp.fits,61171.419260994,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.05370344707445763,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
MiniCombEtalon_R11_20260511123002_deg0_sp.fits,61171.544260130,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.05817352272232261,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
MiniCombEtalon_R12_20260511063002_deg0_sp.fits,61171.296482670,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.04573701216488306,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
MiniCombEtalon_R12_20260511093002_deg0_sp.fits,61171.421481833,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.054027719891220655,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
MiniCombEtalon_R12_20260511123002_deg0_sp.fits,61171.546480969,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.05637530415325401,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
MiniCombEtalon_R13_20260511063002_deg0_sp.fits,61171.298703510,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.04647518184375882,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
MiniCombEtalon_R13_20260511093002_deg0_sp.fits,61171.423702672,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.054223410630850025,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
MiniCombEtalon_R13_20260511123002_deg0_sp.fits,61171.548701807,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.05846046982967257,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
MiniCombEtalon_R14_20260511063002_deg0_sp.fits,61171.300924350,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.04484201062459814,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
MiniCombEtalon_R14_20260511093002_deg0_sp.fits,61171.425923510,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.055685073143947314,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
MiniCombEtalon_R01_20260512063001_deg0_sp.fits,61172.272046451,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.05140196393381722,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
MiniCombEtalon_R01_20260512093002_deg0_sp.fits,61172.397045777,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.05224999517883841,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
MiniCombEtalon_R01_20260512123002_deg0_sp.fits,61172.522045066,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.05097141499503657,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
MiniCombEtalon_R02_20260512063001_deg0_sp.fits,61172.274267295,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.055049884952159775,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
MiniCombEtalon_R02_20260512093002_deg0_sp.fits,61172.399266621,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.05116191655145487,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
MiniCombEtalon_R02_20260512123002_deg0_sp.fits,61172.524265907,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.05104456638203126,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
MiniCombEtalon_R03_20260512063001_deg0_sp.fits,61172.276488139,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.04878470248653525,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
MiniCombEtalon_R03_20260512093002_deg0_sp.fits,61172.401487466,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.050761221487686435,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
