filename,mjd,rv_sci_mean_kms,rv_cal_mean_kms
EtalonEtalon_R07_20260505080002_deg0_sp.fits,61165.347884537,0.007390474144538756,0.009056471016133348
EtalonEtalon_R07_20260505110001_deg0_sp.fits,61165.472866392,0.003260737285863077,0.004579001424682735
EtalonEtalon_R07_20260507050001_deg0_sp.fits,61167.222867877,0.03287610075597263,0.03423273055493565
EtalonEtalon_R07_20260507080001_deg0_sp.fits,61167.347866804,0.0303292864690234,0.03159766658734013
EtalonEtalon_R07_20260507110001_deg0_sp.fits,61167.472865714,0.030314225065081087,0.03156328208211079
EtalonEtalon_R07_20260508050001_deg0_sp.fits,61168.222876939,0.040810627148672424,0.04280988982513205
EtalonEtalon_R07_20260508080001_deg0_sp.fits,61168.347875867,0.04002743598062683,0.04085115083067585
EtalonEtalon_R07_20260508110001_deg0_sp.fits,61168.472857700,0.03762145389519413,0.03991198339435878
EtalonEtalon_R07_20260509050001_deg0_sp.fits,61169.222868140,0.0404554942630208,0.0424355785570168
EtalonEtalon_R07_20260509080001_deg0_sp.fits,61169.347867075,0.03821634758769462,0.03987466275692212
EtalonEtalon_R07_20260509110001_deg0_sp.fits,61169.472865986,0.03541367397520245,0.03748677893611184
EtalonEtalon_R07_20260510050001_deg0_sp.fits,61170.222877388,0.04775740687047883,0.04853076602143441
EtalonEtalon_R07_20260510080001_deg0_sp.fits,61170.347876645,0.043883252760862794,0.04391730767135818
EtalonEtalon_R07_20260510110001_deg0_sp.fits,61170.472875852,0.041826602350063774,0.04243184309446883
EtalonEtalon_R07_20260511050001_deg0_sp.fits,61171.222870326,0.05819538433227659,0.05792108192793947
EtalonEtalon_R07_20260511080002_deg0_sp.fits,61171.347886602,0.057327218722579655,0.05780654038223056
EtalonEtalon_R07_20260511110001_deg0_sp.fits,61171.472868670,0.055960491132271785,0.05590006565970501
EtalonEtalon_R07_20260512050001_deg0_sp.fits,61172.222863267,0.06221819153229527,0.06207711509303755
EtalonEtalon_R07_20260512080001_deg0_sp.fits,61172.347862637,0.05990921084510142,0.06033146809615605
EtalonEtalon_R07_20260512110001_deg0_sp.fits,61172.472861948,0.05764351364652923,0.05793258041921364
EtalonEtalon_R08_20260503050002_deg0_sp.fits,61163.225105669,0.02986744163897176,0.03061970558748381
EtalonEtalon_R08_20260503080001_deg0_sp.fits,61163.350087431,0.028205196814740135,0.029092854398791963
EtalonEtalon_R08_20260503110001_deg0_sp.fits,61163.475086345,0.024385889935468627,0.02428902901412138
EtalonEtalon_R08_20260504050001_deg0_sp.fits,61164.225097488,0.016534346765217908,0.01642726512666885
EtalonEtalon_R08_20260504080002_deg0_sp.fits,61164.350096374,0.017848287865245283,0.01729286089114334
EtalonEtalon_R08_20260504110001_deg0_sp.fits,61164.475095263,0.013565842444434727,0.014731675550790937
EtalonEtalon_R08_20260505050001_deg0_sp.fits,61165.225089345,0.011557128309681187,0.013262462832812055
EtalonEtalon_R08_20260505080002_deg0_sp.fits,61165.350105377,0.007902109779685506,0.00909852399522906
