filename,mjd,order_23,order_24,order_25,order_26,order_27,order_28,order_29,order_30,order_31,order_32,order_33,order_34,order_35,order_36,order_37,order_38,order_39,order_40,order_41,order_42
EtalonEtalon_R01_20260510110001_deg0_sp.fits,61170.459550810,0.015240430735657123,0.019771923129217564,-0.04696930325933728,-0.18221137342976898,-0.013969087921671175,-0.05330311744962481,nan,0.012897000595899297,-0.04275066511367301,-0.061804245339624385,0.008934983791016312,0.0077581586934804755,-0.026426363164753226,nan,0.1349854793459593,0.07344906553092224,0.12564166553815526,0.06701006006965395,0.03350082018308103,0.07833622150818884
EtalonEtalon_R01_20260511050001_deg0_sp.fits,61171.209545298,0.013857501319425425,0.017959916070971055,-0.048370211070621554,-0.18331477358369958,-0.01055595507108359,-0.05292705289444271,nan,0.01420844277417697,-0.04007069432181472,-0.06385179746779968,0.008478753969984914,0.009044510700461486,-0.02310747536630299,nan,0.1371434437578925,0.07085640285184631,0.12140797521064076,0.06763880695478942,0.031650814787556145,0.08675873000624114
EtalonEtalon_R01_20260511080002_deg0_sp.fits,61171.334561563,0.019202203433590304,0.015988884033452028,-0.046812030000409524,-0.1803558616270492,-0.013639353337192586,-0.05033950359668765,nan,0.014650135006790237,-0.043752769849443436,-0.06500513242855133,0.011988962305342904,0.0075949693667837215,-0.020648025015850453,nan,0.13605080157861327,0.07734885622651777,0.12448369710827972,0.06815123019599983,0.029506457924244146,0.0766011565727978
EtalonEtalon_R01_20260511110001_deg0_sp.fits,61171.459543629,0.02130267674780606,0.016579787616313943,-0.0496663464052313,-0.18188716577611785,-0.013621708337209285,-0.05215455632986566,nan,0.01528479662574298,-0.03584314418528739,-0.06359874604998947,0.01358091252394435,0.007303454425657177,-0.021774217299900915,nan,0.13567606492848644,0.07166171165803416,0.12151810427159744,0.06927796323793561,0.029951445901799458,0.08295249176141406
EtalonEtalon_R02_20260503050002_deg0_sp.fits,61163.211780645,0.02278066322499612,0.012934327373187636,-0.02579479630670071,-0.1767284379082252,-0.01281119240128515,-0.052665491327643275,nan,0.013273267494474321,-0.03847725945179553,-0.05990166678628354,0.008086255467304702,0.002927932723700122,-0.02963437242712992,nan,0.13674159490523133,0.06609794274375126,0.1138188831314695,0.07022781564440109,0.03254602992601466,0.07324137165571656
EtalonEtalon_R02_20260503080001_deg0_sp.fits,61163.336762402,0.017018920512515988,0.0165676304973104,-0.04395973198232462,-0.17993672255379062,-0.01821491443232707,-0.05357031830453228,nan,0.01978596808160415,-0.036327148527795325,-0.06369826860420995,0.009010310329739292,0.010052775052668828,-0.029497796285716114,nan,0.13288954501168043,0.06528021564842479,0.1143807578041353,0.070128566060209,0.02510652494276855,0.07655896548022938
EtalonEtalon_R02_20260503110001_deg0_sp.fits,61163.461761314,0.020535359507322524,0.019511529261263386,-0.038142641047232285,-0.175329793619801,-0.013366611131947308,-0.05261588963255365,nan,0.018032231874881833,-0.04331465379618125,-0.06033269584029957,0.006178329272913452,0.007376136495794286,-0.026597071267538935,nan,0.13592189865711374,0.06718623975106387,0.1214599286322985,0.07367821953606271,0.03784889311572973,0.07523715359322602
EtalonEtalon_R02_20260504050001_deg0_sp.fits,61164.211772462,0.020318221714942707,0.01668445024731431,-0.03981437978315344,-0.17782527559507902,-0.011465895455756658,-0.05254824054704241,nan,0.016854975498590122,-0.045466225666007686,-0.06056099580962472,0.0064744841976107845,0.004407734437557653,-0.028346618540847465,nan,0.13646548471275471,0.06795131524032912,0.1167008871809731,0.07001427891761983,0.03512803524724431,0.07482390336463593
EtalonEtalon_R02_20260504080002_deg0_sp.fits,61164.336771345,0.02193454600257391,0.015640716016678033,-0.04416455184954975,-0.17833180422660588,-0.014857329775339934,-0.04933129175367039,nan,0.009876996248888874,-0.04205065766308874,-0.06183269524868171,0.006459339496225375,0.009655777512370463,-0.026551416184347344,nan,0.13971956917016493,0.06742905638119559,0.11515557266937239,0.06955875810963115,0.031134032901677468,0.07231788991787537
EtalonEtalon_R02_20260504110001_deg0_sp.fits,61164.461770233,0.019564328063906157,0.018548904782281266,-0.043938424564417974,-0.1783013589166616,-0.0118772029220378,-0.052791807729480014,nan,0.015156827653488754,-0.042786257476402884,-0.06559988080272966,0.0208875702242085,0.010606493441074248,-0.025824607244785972,nan,0.1379608360935115,0.07018285082196248,0.1171657487098591,0.07258434966752722,0.030648366375568142,0.07669673664379976
EtalonEtalon_R02_20260505050001_deg0_sp.fits,61165.211764310,0.01764199659618878,0.01742825868859061,-0.04390513891322076,-0.17819599415731596,-0.013725005056457826,-0.05148416167268917,nan,0.018145742725573573,-0.040718438425574946,-0.061663938551626045,0.005225024148606573,0.0055835262554282394,-0.028046142247828334,nan,0.13785265175393324,0.07423785205617903,0.11033258285311216,0.06642948127599813,0.031374689316373106,0.06960518616102926
