filename,mjd,order_4,order_5,order_6,order_7,order_8,order_9,order_10,order_11,order_12,order_13,order_14,order_15,order_16,order_17,order_18,order_19,order_20,order_21,order_22,order_23,order_24,order_25,order_26,order_27,order_28,order_29,order_30,order_31,order_32,order_33,order_34,order_35,order_36,order_37,order_38,order_39
EtalonEtalon_R07_20260422110001_deg0_sp.fits,61152.472881406,0.040650522257415854,0.10617641520370706,-0.06000020649801183,-0.07470599231925396,-0.018682716738411417,0.03641016843687033,0.038570582253844576,0.017006992023809286,0.0071055855129910465,-0.0920881162852743,-0.010098677447958788,0.028090378037843405,-0.03872395274157449,-0.02060634572679,-0.07407945603599331,0.0894870110176023,0.01938036929985869,-0.02136658299695254,-0.023416523879446333,-0.04258426721469205,-0.1318290599946908,-0.03067842690042387,-0.12754935022562006,-0.020489417330651107,0.04235774401030433,nan,0.15819597341564784,-0.1407405663890712,-0.025714374541934464,-0.0011677259274376697,-0.01469863066339085,0.11966103859173315,nan,-0.051885848239364554,0.02851188298395547,-0.003549307704000037
EtalonEtalon_R08_20260422050002_deg0_sp.fits,61152.225087451,0.037343954476300935,0.11306552420814484,-0.04958470374212723,-0.07225434218734682,-0.033488222614280125,0.02403014764022013,0.04447364436244905,0.01543409259421262,0.007147161038328645,-0.09791767649219973,-0.007208712032983074,0.030566224747393695,-0.03622972993498483,-0.01163380963339268,-0.07731606341554109,0.08729672990444601,0.01672267737993962,-0.013359715449194287,-0.016097292548372038,-0.04287938502026227,-0.1298571646126695,-0.027236101447834157,-0.12924960578136596,-0.016498413302555484,0.03833471649195907,nan,0.1585104830795904,-0.1415143521524625,-0.02621770385946169,0.00682753740226829,-0.010221926871429015,0.1201410492860831,nan,-0.05347730528257259,0.0279427348724217,0.002610810419272712
EtalonEtalon_R08_20260422080002_deg0_sp.fits,61152.350103441,0.025406569772797954,0.09830203472300536,-0.045473293246970636,-0.06897334291706389,-0.03172236620672587,0.03431383790801923,0.048384171312818185,0.014498881324370258,0.006914984956220126,-0.09365190496202068,-0.015726652923262488,0.03856051124895721,-0.03719500974954567,-0.01411238402225349,-0.07880536512102024,0.09221584581882064,0.019269952676635983,-0.019910100322447288,-0.015233370601294594,-0.039756309286186425,-0.12951473057898696,-0.02259152156923662,-0.12489525627952434,-0.02144949037155104,0.03575990237099129,nan,0.15766392482167424,-0.13979894928486108,-0.03223106427353636,0.002251719814175858,-0.00486047025114161,0.12335651832250755,nan,-0.0534726242379398,0.02437809141536136,-0.007762707654952815
EtalonEtalon_R08_20260422110001_deg0_sp.fits,61152.475102242,0.03912458309419818,0.10961060277735608,-0.05301772263100388,-0.07269495247360122,-0.027442830330293273,0.035753761869978105,0.037786448794719145,0.02725731677984289,0.00530091837989952,-0.09480702749790354,-0.010206102680520343,0.030414551836525708,-0.027553747061134906,-0.017769430438084554,-0.07329321925655231,0.08778375266322098,0.02030905345886881,-0.026008692346812343,-0.02490001772453384,-0.04181379438199215,-0.13500947728904888,-0.02373648057726914,-0.12675767476729422,-0.023382424736881294,0.03803037658957287,nan,0.15536897709703978,-0.14188801245432325,-0.024391735062598924,0.0035298234066135775,-0.011172506102739116,0.11972361863287781,nan,-0.04866558606353885,0.021719187719821884,-0.0036932069564063717
EtalonEtalon_R09_20260422050002_deg0_sp.fits,61152.227308289,0.0430528807782497,0.10897532272850521,-0.054163789846858074,-0.07712942234835493,-0.01765906802248455,0.042602412642694286,0.045928344575943844,0.003242156074313024,0.009437644036202855,-0.0876704179668938,-0.011978782731018399,0.02854256078432372,-0.03200820011111773,-0.02035190987259515,-0.07585197516082953,0.09553676975065341,-0.000856259489436309,-0.026261747957575948,-0.01906552055112378,-0.04109325355022557,-0.13194875214584711,-0.02975566025191602,-0.12734430898061455,-0.02236309283507653,0.03268816839354074,nan,0.15852334241384664,-0.1395044177949956,-0.027317963753187197,0.006509957212000657,-0.011551366417200632,0.11992045776539784,nan,-0.05159300386178833,0.025657023897749015,0.004676005638575342
EtalonEtalon_R09_20260422080002_deg0_sp.fits,61152.352324280,0.023952052724482344,0.10388498286326045,-0.05858285826748523,-0.07245375712691793,-0.014305133325176876,0.03674659784102309,0.050482276963049605,0.02372275831253811,0.01085597727674312,-0.10287833206320268,-0.01734787286133139,0.03401011716495959,-0.03059315315560021,-0.016985183054754972,-0.0749737832438501,0.09966840097272123,0.0233524339611643,-0.023965487829830035,-0.0312876968468214,-0.044891530721681144,-0.13036436196067974,-0.029910735552002785,-0.1252722584705524,-0.02599302515911123,0.037557377968984874,nan,0.154459006197651,-0.13880963789928932,-0.02965362288108373,0.003984184578110082,-0.007971827995754632,0.11927633617060023,nan,-0.049932370967799115,0.028721912081855015,-0.0008646122188027197
EtalonEtalon_R09_20260422110001_deg0_sp.fits,61152.477323077,0.034288810977141745,0.11567173060721747,-0.04106710525039335,-0.07333533355289584,0.01541269399177412,0.028083752892038606,0.04162765861261338,0.002108886623336151,0.007002802389642966,-0.09495244085232374,-0.014448478521202382,0.027425729744195586,-0.03584453368210512,-0.010374946572998568,-0.07866347623676931,0.09065867489996997,0.02006968563344301,-0.0348280101560498,-0.029823817493778708,-0.04199053581917743,-0.1363779988924561,-0.030781980689257915,-0.1271771451371289,-0.022516262952908966,0.037315706952640734,nan,0.15895090151151256,-0.14094145990020873,-0.0261040514618287,0.002841464415612553,-0.014422940819491196,0.11923458292081983,nan,-0.052841306825604825,0.028477758695538986,0.00171741272110211
EtalonEtalon_R10_20260422050002_deg0_sp.fits,61152.229529128,0.042112898577787786,0.10485066859262321,-0.048341414294464244,-0.07346524251168132,-0.02558401259964363,0.028796103683839676,0.04451590690922008,0.016537194545863915,0.011643010387075093,-0.09076217921466667,-0.011977986048656042,0.026243754758473063,-0.03521694190368975,-0.014074360783880496,-0.07815812114178328,0.08674706841715082,0.016237623294442435,-0.022861992870976806,-0.025594740216468594,-0.04459295565649113,-0.13031529143688225,-0.02144392510887888,-0.12932886522077636,-0.022289652222150486,0.03754038343775268,nan,0.15798943964805726,-0.13456710568184324,-0.02849179284741235,0.008235869879418607,-0.010447659380165997,0.12180673250414087,nan,-0.051524431924417996,0.026588037403088162,0.0035854201053708776
EtalonEtalon_R10_20260422080002_deg0_sp.fits,61152.354545118,0.03127072794697184,0.10849254131522397,-0.051165298570587395,-0.08327533378801805,-0.02184863972160589,0.038727185045626215,0.04960935561398509,0.00901796427422033,0.011251261257957607,-0.09196150751696432,-0.010822958518115117,0.025562703447199336,-0.038826268567698156,-0.022425514105367056,-0.07683589524908407,0.10666579545548745,0.02214839595786353,-0.02828585787390405,-0.02719328080898723,-0.04208343269118937,-0.1249304728031318,-0.025325006374084483,-0.12077514513423256,-0.018818827850228575,0.03901658909651749,nan,0.15880605548539636,-0.1392409782928842,-0.031215726761357518,0.0027375818875049543,-0.009704996404851377,0.11783956326494725,nan,-0.0512186258474306,0.028120467304364367,-0.0038861818459589234
EtalonEtalon_R10_20260422110001_deg0_sp.fits,61152.479543914,0.04586035437970176,0.10924289207161525,-0.06279719677721575,-0.07612580089855939,-0.01572037836760737,0.035292002742677395,0.04586003859538475,-0.011892649519767845,0.012069216670377894,-0.09666897002287721,-0.014347365824113145,0.0288671276361915,-0.03179393239190592,-0.016793122599925516,-0.0746167387436583,0.09354641115116505,0.02109073199331222,-0.023562123069392857,-0.029262870257307283,-0.043443857288145565,-0.1343616515776705,-0.02703970958496106,-0.12503799569509222,-0.016905621210605695,0.033107686535923414,nan,0.15651928245709396,-0.14267331631228614,-0.023880558588957858,0.002433852168877003,-0.014317094739449759,0.1140616530040112,nan,-0.051234543109672445,0.025957857323823542,0.002006530161153333
