filename,mjd,rv_sci_mean_kms,rv_cal_mean_kms
EtalonEtalon_R13_20260421080001_deg0_sp.fits,61151.361199075,0.04195723436831419,0.049493818266855436
EtalonEtalon_R13_20260421110001_deg0_sp.fits,61151.486197869,0.03000691566819911,0.03934415792989883
EtalonEtalon_R14_20260421050002_deg0_sp.fits,61151.238421169,0.04424710179494898,0.05254637561260022
EtalonEtalon_R14_20260421080001_deg0_sp.fits,61151.363419911,0.04110285566214491,0.04957884505953116
EtalonEtalon_R14_20260421110001_deg0_sp.fits,61151.488418705,0.0308096368451591,0.03899638621605878
EtalonEtalon_R15_20260421050002_deg0_sp.fits,61151.240642005,0.04482418108891086,0.05345012423069859
EtalonEtalon_R15_20260421080001_deg0_sp.fits,61151.365640746,0.04132964265253809,0.04937679235476606
EtalonEtalon_R15_20260421110001_deg0_sp.fits,61151.490639541,0.031054421696156975,0.03991180985247474
EtalonEtalon_R16_20260421050002_deg0_sp.fits,61151.242862840,0.04285138378118042,0.052400085924470916
EtalonEtalon_R16_20260421080001_deg0_sp.fits,61151.367861582,0.04049023567473346,0.04978137125353174
EtalonEtalon_R16_20260421110001_deg0_sp.fits,61151.492860379,0.03164484891819567,0.04048995931461793
EtalonEtalon_R17_20260421050002_deg0_sp.fits,61151.245083675,0.04419631061500956,0.05130886679569542
EtalonEtalon_R17_20260421080001_deg0_sp.fits,61151.370082417,0.03948953760281754,0.04775442047489107
EtalonEtalon_R17_20260421110001_deg0_sp.fits,61151.495081217,0.03177262436548629,0.04109849705936315
EtalonEtalon_R18_20260421050002_deg0_sp.fits,61151.247304510,0.042795873947308695,0.05164990276051634
EtalonEtalon_R18_20260421080001_deg0_sp.fits,61151.372303253,0.039685847279517426,0.049278439328648525
EtalonEtalon_R18_20260421110001_deg0_sp.fits,61151.497302055,0.032070236855572025,0.04125875916031284
EtalonEtalon_R19_20260421050002_deg0_sp.fits,61151.249525345,0.04351474664668356,0.051958524364967854
EtalonEtalon_R19_20260421080001_deg0_sp.fits,61151.374524088,0.039126554743942873,0.04803560950745549
EtalonEtalon_R19_20260421110001_deg0_sp.fits,61151.499522893,0.03283833526748697,0.041029090435307836
EtalonEtalon_R20_20260421050002_deg0_sp.fits,61151.251746180,0.04381973586398535,0.052104732278499266
EtalonEtalon_R20_20260421080001_deg0_sp.fits,61151.376744923,0.04159667544589773,0.04947744692153379
EtalonEtalon_R20_20260421110001_deg0_sp.fits,61151.501743730,0.033025147513414635,0.0406637328883576
EtalonEtalon_R01_20260412050002_deg0_sp.fits,61142.209561237,0.02730905620249797,0.033655085260996094
EtalonEtalon_R01_20260412080001_deg0_sp.fits,61142.334542873,0.022224901263470518,0.03016096036060255
EtalonEtalon_R01_20260412110001_deg0_sp.fits,61142.459541728,0.01604912363803264,0.023019528331898544
EtalonEtalon_R02_20260412050002_deg0_sp.fits,61142.211782074,0.02640786047434107,0.03364058837368539
EtalonEtalon_R02_20260412080001_deg0_sp.fits,61142.336763712,0.022322544078775434,0.029843169374028956
EtalonEtalon_R02_20260412110001_deg0_sp.fits,61142.461762566,0.015710948769439636,0.023046759789789262
EtalonEtalon_R03_20260412050002_deg0_sp.fits,61142.214002911,0.02699543801314671,0.03295880236941105
EtalonEtalon_R03_20260412080001_deg0_sp.fits,61142.338984550,0.02237653006133945,0.02901655746467186
EtalonEtalon_R03_20260412110001_deg0_sp.fits,61142.463983404,0.017233488138293507,0.02350530723457372
EtalonEtalon_R04_20260412050002_deg0_sp.fits,61142.216223747,0.02774229830759037,0.03390699589393836
EtalonEtalon_R04_20260412080001_deg0_sp.fits,61142.341205387,0.022732237938892633,0.029499268799277282
EtalonEtalon_R04_20260412110001_deg0_sp.fits,61142.466204242,0.017497308090306946,0.022753894990877405
EtalonEtalon_R05_20260412050002_deg0_sp.fits,61142.218444582,0.027123160603133686,0.03256114261519351
EtalonEtalon_R05_20260412080001_deg0_sp.fits,61142.343426225,0.021605685394401733,0.028394526362689382
EtalonEtalon_R05_20260412110001_deg0_sp.fits,61142.468425080,0.015290649838757468,0.024121232949208263
EtalonEtalon_R06_20260412050002_deg0_sp.fits,61142.220665417,0.026758048908972452,0.03359250653022978
EtalonEtalon_R06_20260412080001_deg0_sp.fits,61142.345647064,0.022272399396567423,0.028824070713794437
EtalonEtalon_R06_20260412110001_deg0_sp.fits,61142.470645917,0.016897848769503544,0.02304438273796145
EtalonEtalon_R07_20260412050002_deg0_sp.fits,61142.222886252,0.026944609432375977,0.03273528960013996
EtalonEtalon_R07_20260412080001_deg0_sp.fits,61142.347867902,0.022470529861786777,0.0301626633087862
EtalonEtalon_R07_20260412110001_deg0_sp.fits,61142.472866753,0.01815087727799348,0.025145638743139187
EtalonEtalon_R08_20260412050002_deg0_sp.fits,61142.225107088,0.027298375112873786,0.03546539689249585
EtalonEtalon_R08_20260412080001_deg0_sp.fits,61142.350088740,0.02207720004365701,0.028761142689876503
EtalonEtalon_R08_20260412110001_deg0_sp.fits,61142.475087590,0.01788127607988504,0.025086799632285925
EtalonEtalon_R09_20260412050002_deg0_sp.fits,61142.227327921,0.026578571069851373,0.033133145244103115
EtalonEtalon_R09_20260412080001_deg0_sp.fits,61142.352309578,0.0224902516522308,0.02737242786101016
EtalonEtalon_R09_20260412110001_deg0_sp.fits,61142.477308426,0.018605056066094167,0.026435206139076312
EtalonEtalon_R10_20260412050002_deg0_sp.fits,61142.229548756,0.026386286886667245,0.03343492906947469
EtalonEtalon_R10_20260412080001_deg0_sp.fits,61142.354530416,0.020749928088921926,0.02806110204166159
EtalonEtalon_R10_20260412110001_deg0_sp.fits,61142.479529262,0.01721687923099405,0.02408829950606968
EtalonEtalon_R11_20260412050002_deg0_sp.fits,61142.231769591,0.026609579822164175,0.03227678407503694
EtalonEtalon_R11_20260412080001_deg0_sp.fits,61142.356751254,0.021176404891748594,0.028150978494475374
EtalonEtalon_R11_20260412110001_deg0_sp.fits,61142.481750098,0.019326072523003564,0.026348145888777298
EtalonEtalon_R12_20260412050002_deg0_sp.fits,61142.233990425,0.026482174967019486,0.03397266496136361
EtalonEtalon_R12_20260412080001_deg0_sp.fits,61142.358972092,0.022366081256573068,0.029372435458901697
EtalonEtalon_R12_20260412110001_deg0_sp.fits,61142.483970935,0.017745369775993076,0.024829217915182403
EtalonEtalon_R13_20260412050002_deg0_sp.fits,61142.236211259,0.026160602506240745,0.03346601897363012
EtalonEtalon_R13_20260412080001_deg0_sp.fits,61142.361192929,0.021379686464610664,0.028733093805167097
EtalonEtalon_R13_20260412110001_deg0_sp.fits,61142.486191772,0.01843828945267083,0.024497954014695383
