Time,"output {channel=""blue_etalon"", units=""Amps""}",seconds,days,jd,amps,sams x axis,amps,fixed refderences JD offset
1.76E+12,0.31,1763266230,20408.17396,2460995.324,0.31,-4.676291667,0.31,
1.76E+12,0.309,1763266260,20408.17431,2460995.324,0.309,-4.675944445,0.309,
1.76E+12,0.309,1763266290,20408.17465,2460995.324,0.309,-4.675597223,0.309,
1.76E+12,0.31,1763266320,20408.175,2460995.325,0.31,-4.67525,0.31,
1.76E+12,0.31,1763266350,20408.17535,2460995.325,0.31,-4.674902778,0.31,
1.76E+12,0.311,1763266380,20408.17569,2460995.325,0.311,-4.674555556,0.311,
1.76E+12,0.309,1763266410,20408.17604,2460995.326,0.309,-4.674208333,0.309,
1.76E+12,0.31,1763266440,20408.17639,2460995.326,0.31,-4.673861111,0.31,
1.76E+12,0.31,1763266470,20408.17674,2460995.326,0.31,-4.673513889,0.31,
1.76E+12,0.311,1763266500,20408.17708,2460995.327,0.311,-4.673166667,0.311,
1.76E+12,0.31,1763266530,20408.17743,2460995.327,0.31,-4.672819444,0.31,
1.76E+12,0.31,1763266560,20408.17778,2460995.328,0.31,-4.672472222,0.31,
1.76E+12,0.311,1763266590,20408.17813,2460995.328,0.311,-4.672125,0.311,
1.76E+12,0.311,1763266620,20408.17847,2460995.328,0.311,-4.671777778,0.311,
1.76E+12,0.31,1763266650,20408.17882,2460995.329,0.31,-4.671430556,0.31,
1.76E+12,0.311,1763266680,20408.17917,2460995.329,0.311,-4.671083333,0.311,
1.76E+12,0.311,1763266710,20408.17951,2460995.329,0.311,-4.670736111,0.311,
1.76E+12,0.309,1763266740,20408.17986,2460995.33,0.309,-4.670388889,0.309,
1.76E+12,0.31,1763266770,20408.18021,2460995.33,0.31,-4.670041667,0.31,
1.76E+12,0.311,1763266800,20408.18056,2460995.33,0.311,-4.669694445,0.311,
1.76E+12,0.31,1763266830,20408.1809,2460995.331,0.31,-4.669347222,0.31,
1.76E+12,0.311,1763266860,20408.18125,2460995.331,0.311,-4.669,0.311,
1.76E+12,0.311,1763266890,20408.1816,2460995.331,0.311,-4.668652778,0.311,
1.76E+12,0.31,1763266920,20408.18194,2460995.332,0.31,-4.668305556,0.31,
1.76E+12,0.312,1763266950,20408.18229,2460995.332,0.312,-4.667958334,0.312,
1.76E+12,0.31,1763266980,20408.18264,2460995.332,0.31,-4.667611111,0.31,
1.76E+12,0.31,1763267010,20408.18299,2460995.333,0.31,-4.667263889,0.31,
1.76E+12,0.31,1763267040,20408.18333,2460995.333,0.31,-4.666916667,0.31,
1.76E+12,0.311,1763267070,20408.18368,2460995.333,0.311,-4.666569444,0.311,
1.76E+12,0.312,1763267100,20408.18403,2460995.334,0.312,-4.666222222,0.312,
1.76E+12,0.31,1763267130,20408.18438,2460995.334,0.31,-4.665875,0.31,
1.76E+12,0.31,1763267160,20408.18472,2460995.334,0.31,-4.665527778,0.31,
1.76E+12,0.309,1763267190,20408.18507,2460995.335,0.309,-4.665180556,0.309,
1.76E+12,0.31,1763267220,20408.18542,2460995.335,0.31,-4.664833333,0.31,
